Equipe,Absence 1,Absence 2,Absence 3,Absence 4,Style de jeu,Lien calendrier,Rang equipe,Ligue,Classement reel,Points finaux
Toulouse,Van Den Boomen,Nicolaisen,Ratao,Spierings,Counter Attack,https://fbref.com/fr/equipes/3f8c4b5f/2022-2023/Statistiques-Toulouse#all_matchlogs,4,FR,20,31
Auxerre,,,,,Counter Attack,,4,FR,19,31
Brest,Mounie,Honorat,Lees-Melou,Lala,Direct,https://fbref.com/fr/equipes/fb08dbb3/2022-2023/Brest-Stats#all_matchlogs,3,FR,11,48
Ajaccio,,,,,Direct,,4,FR,18,32
Bayern München,Kimmich,Musiala,Coman,Davies,Build up,https://fbref.com/fr/equipes/054efa67/2022-2023/Statistiques-Bayern-Munich#all_matchlogs,1,AL,1,86
Dortmund,Bellingham,Brandt,Guerreiro,Haller/Malen,Build up,https://fbref.com/fr/equipes/add600ae/2022-2023/Statistiques-Dortmund#all_matchlogs,2,AL,2,77
Freiburg,Grifo,Gregoritsch,Ginter,Doan,Direct,https://fbref.com/fr/equipes/a486e511/2022-2023/Statistiques-Freiburg#all_matchlogs,2,AL,6,61
Bayer Leverkusen,Wirtz,Diaby,Frimpong,Andrich,Build up,https://fbref.com/fr/equipes/c7a9f859/2022-2023/Statistiques-Bayer-Leverkusen#all_matchlogs,2,AL,3,72
Mainz 05,Ajorque,Hanchhe-Olsen,Stach,Onisiwo,Counter Attack,https://fbref.com/fr/equipes/a224b06a/2022-2023/Statistiques-Mainz-05#all_matchlogs,3,AL,8,51
Union Berlin,Doekhi,Becker,Ryerson,Knoche,Counter Attack,https://fbref.com/fr/equipes/7a41008f/2022-2023/Statistiques-Union-Berlin#all_matchlogs,2,AL,5,64
Wolfsburg,Arnold,Otavio,Wimmer,Nmecha,Counter Attack,https://fbref.com/fr/equipes/4eaa11d7/2022-2023/Statistiques-Wolfsburg#all_matchlogs,3,AL,12,47
RB Leipzig,Nkunku,Szoboszlai,Orban,Laimer,Direct,https://fbref.com/fr/equipes/acbb6a5b/2022-2023/Statistiques-RB-Leipzig#all_matchlogs,2,AL,4,65
Hoffenheim,Baumgartner,Rutter,Bebou,Angelino,Build up,https://fbref.com/fr/equipes/033ea6b8/2022-2023/Statistiques-Hoffenheim#all_matchlogs,3,AL,9,51
Mönchengladbach,Hofmann,Thuram,Bensebaini,Kone,Build up,https://fbref.com/fr/equipes/32f3ee20/2022-2023/Statistiques-Monchengladbach#all_matchlogs,3,AL,10,50
Köln,Chabot,Kainz,Skhiri,Hector,Build up,https://fbref.com/fr/equipes/bc357bf7/2022-2023/Statistiques-Koln#all_matchlogs,3,AL,7,58
Hertha BSC,Tousart,Kempf,Lukebakio,Richter,Counter Attack,https://fbref.com/fr/equipes/2818f8bc/2022-2023/Statistiques-Hertha-BSC#all_matchlogs,4,AL,16,37
Stuttgart,Sosa,Mavropanos,Endo,Guirassy,Build up,https://fbref.com/fr/equipes/598bc722/2022-2023/Statistiques-Stuttgart#all_matchlogs,4,AL,15,37
Schalke 04,,,,,Counter Attack,,3,AL,13,47
Eintracht Frankfurt,Kolo Muani,Kamada,Tuta,Ebimbe,Direct,https://fbref.com/fr/equipes/f0ac8ee6/2022-2023/Statistiques-Eintracht-Frankfurt#all_matchlogs,3,AL,11,47
Augsburg,Oxford,Caligiuri,Gregoritsch,Dorsch,Counter Attack,,4,AL,14,42
Werder Bremen,Füllkrug,Wimmer,Brunner,Nilsson,Counter Attack,https://fbref.com/fr/equipes/62add3bf/2022-2023/Statistiques-Werder-Bremen#all_matchlogs,4,AL,17,31
Bochum,Hofmann,Stoger,Ordets,Losilla,Counter Attack,https://fbref.com/fr/equipes/b42c6323/2022-2023/Statistiques-Bochum#all_matchlogs,4,AL,18,20
Sturm Graz,,,,,Counter Attack,,3,Autres,,
PSV Eindhoven,,,,,Build up,,2,HOL,,
Benfica,,,,,Build up,,2,POR,,
Dynamo Kiev,,,,,Maintenance,,2,UKR,,
Spartak Moscow,,,,,Maintenance,,3,RUS,,
Sheriff Tiraspol,,,,,Maintenance,,3,Autres,,
Shakhtar Donetsk,,,,,Maintenance,,3,UKR,,
Red Bull Salzburg,,,,,Counter Attack,,2,Autres,,
Braga,,,,,Maintenance,,3,POR,,
Celtic,,,,,Build up,,3,ECO,,
Ferencváros,,,,,Counter Attack,,3,Autres,,
Porto,,,,,Build up,,1,POR,,
Young Boys,,,,,Counter Attack,,2,Autres,,
Club Brugge,,,,,Build up,,2,BEL,,
Rapid Wien,,,,,Counter Attack,,3,Autres,,
Genk,,,,,Build up,,3,BEL,,
Antwerp,,,,,Build up,,3,BEL,,
Dinamo Zagreb,,,,,Counter Attack,,3,Autres,,
Legia Sofia,,,,,Counter Attack,,3,Autres,,
Legia Warsaw,,,,,Counter Attack,,3,Autres,,
Zenit,,,,,Build up,,2,RUS,,
Dynamo Kyiv,,,,,Build up,,2,Autres,,
Olympiacos,,,,,Build up,,3,Autres,,
Malmö,,,,,Counter Attack,,3,Autres,,
Galatasaray,,,,,Build up,,2,TUR,,
Fenerbahçe,,,,,Build up,,2,TUR,,
Lokomotiv Moscow,,,,,Build up,,3,RUS,,
Sparta Prague,,,,,Counter Attack,,2,Autres,,
Brøndby,,,,,Counter Attack,,3,Autres,,
Rangers,,,,,Build up,,3,ECO,,
Ajax,,,,,Build up,,1,HOL,,
Sporting CP,,,,,Build up,,2,POR,,
Beşiktaş,,,,,Build up,,2,TUR,,
Zürich,,,,,Counter Attack,,3,Autres,,
Bodø/Glimt,,,,,Counter Attack,,3,Autres,,
Viktoria Plzeň,,,,,Counter Attack,,3,Autres,,
Union SG,,,,,Counter Attack,,3,Autres,,
FC Copenhagen,,,,,Counter Attack,,3,Autres,,
Qarabağ Ağdam,,,,,Counter Attack,,3,Autres,,
Maccabi Haifa,,,,,Counter Attack,,3,Autres,,
Feyenoord,,,,,Counter Attack,,3,Autres,,
Midtjylland,,,,,Counter Attack,,3,Autres,,
AC Omonia,,,,,Counter Attack,,3,Autres,,
Red Star Belgrade,,,,,Counter Attack,,3,Autres,,
Trabzonspor,,,,,Counter Attack,,3,Autres,,
HJK Helsinki,,,,,Counter Attack,,3,Autres,,
Ludogorets Razgrad,,,,,Counter Attack,,3,Autres,,
AÉK Lárnaka,,,,,Counter Attack,,3,Autres,,
